State,Avg F,Avg C,Inches,Millimeters,Density,2016 Median Salary,Cost of Living Adjusted Income,Median Home Value
Alabama,62.8,17.1,58.3,1480,95.8,15.43,46055,136200
Alaska,26.6,-3,22.5,572,1.3,22.68,53070,267800
Arizona,60.3,15.7,13.6,345,60.1,17.05,43278,205900
Arkansas,60.4,15.8,50.6,1284,57.2,14.48,46672,123300
California,59.4,15.2,22.2,563,251,19.67,51386,477500
Colorado,45.1,7.3,15.9,405,52.6,19.09,51845,314200
Connecticut,49,9.4,50.3,1279,741.2,21.68,64509,274600
Delaware,55.3,12.9,45.7,1160,484.1,18.25,48929,243400
Florida,70.7,21.5,54.5,1385,375.9,15.77,47093,197700
Georgia,63.5,17.5,50.7,1287,176.4,16.51,46728,166800
Hawaii,70,21.1,63.7,1618,222.9,19.24,43720,592000
Idaho,44.4,6.9,18.9,481,20,15.77,43369,189400
Illinois,51.8,11,39.2,996,231.4,18.4,52967,186500
Indiana,51.7,10.9,41.7,1060,184.6,16.25,48963,134800
Iowa,47.8,8.8,34,864,55.9,16.72,50937,142300
Kansas,54.3,12.4,28.9,733,35.6,16.57,52658,144900
Kentucky,55.6,13.1,48.9,1242,111.4,15.96,44462,135600
Louisiana,66.4,19.1,60.1,1528,107.2,15.43,48003,158000
Maine,41,5,42.2,1072,43.1,17.01,45992,184700
Maryland,54.2,12.3,44.5,1131,614.5,20.68,54310,306900
Massachusetts,47.9,8.8,47.7,1211,866.6,22.45,61637,366900
Michigan,44.4,6.9,32.8,833,174.7,17.32,48401,147100
Minnesota,41.2,5.1,27.3,693,69,19.28,54459,211800
Mississippi,63.4,17.4,59,1499,63.8,14.22,42165,113900
Missouri,54.5,12.5,42.2,1071,88.3,16.46,48892,151400
Montana,42.7,5.9,15.3,390,7.1,15.75,46315,217200
Nebraska,48.8,9.3,23.6,599,24.7,16.77,55624,148100
Nevada,49.9,9.9,9.5,241,26.3,16.59,45537,239500
New Hampshire,43.8,6.6,43.4,1103,148.4,18.4,54832,251100
New Jersey,52.7,11.5,47.1,1196,"1,207.80",20.17,55162,328200
New Mexico,53.4,11.9,14.6,370,17.2,15.82,41338,167500
New York,45.4,7.4,41.8,1062,419.3,20.56,52898,302400
North Carolina,59,15,50.3,1279,206.2,16.31,47481,165400
North Dakota,40.4,4.7,17.8,452,11,18.83,59202,184100
Ohio,50.7,10.4,39.1,993,283.6,17.19,51138,140100
Oklahoma,59.6,15.3,36.5,927,57,15.93,48330,132200
Oregon,48.4,9.1,27.4,695,42,18.26,46735,287100
Pennsylvania,48.8,9.3,42.9,1089,285.7,17.63,53213,174100
Rhode Island,50.1,10.1,47.9,1218,"1,010.80",19.1,52181,247700
South Carolina,62.4,16.9,49.8,1264,162.6,15.45,44763,153900
South Dakota,45.2,7.3,20.1,511,11.3,15.19,54740,160700
Tennessee,57.6,14.2,54.2,1376,160.1,15.77,49239,157700
Texas,64.8,18.2,28.9,734,104.9,17.06,48494,161500
Utah,48.6,9.2,12.2,310,36.5,16.83,43343,250300
Vermont,42.9,6.1,42.7,1085,67.7,18.23,50309,223700
Virginia,55.1,12.8,44.3,1125,211.7,18.78,52921,264000
Washington,48.3,9.1,38.4,976,107.8,20.87,53705,306400
West Virginia,51.8,11,45.2,1147,76.6,14.79,42659,117900
Wisconsin,43.1,6.2,32.6,829,106.3,17.43,51396,173200
Wyoming,42,5.6,12.9,328,6,18.61,58965,209500
